session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 24,High-Frequency ADCs,24.4,A 10b 3GS/s Time-Domain ADC with Mutually Exclusive,"Macau, China",Portugal,60
Session 24,High-Frequency ADCs,24.5,A 72GS/s 9b Time-Interleaved Pipeline-SAR ADC Achieving,"Macau, China",Portugal,61
Session 24,High-Frequency ADCs,24.6,A Power- and Area-Efﬁcient 4nm Self-Calibrated 12b/16GS/s,Taiwan,United States,61
Session 24,High-Frequency ADCs,24.7,An 8b 10GS/s 2-Channel Time-Interleaved Pipelined ADC with,China,China,61
Session 24,High-Frequency ADCs,24.8,A 12GS/s 9b 16× Time-Interleaved SAR ADC in 16nm FinFET,United States,Ireland,61
Session 25,High-Concepts at High Frequencies,25.1,A Physics-Inspired Oscillator-Based Mixed-Signal Optimization,United States,United States,62
Session 25,High-Concepts at High Frequencies,25.2,A 4GS/s Fully Analog 256×256 MP-Based Cross-Correlator with,United States,United States,62
Session 25,High-Concepts at High Frequencies,25.3,AI-Enabled Design Space Discovery and End-to-end Synthesis for,United States,United States,62
Session 25,High-Concepts at High Frequencies,25.4,A Micromachined Heterogeneously Integrated Active-Probe,Jordan,United States,62
Session 25,High-Concepts at High Frequencies,25.5,A 99.5mW/port DC-to-40GHz Integrated Channel Analyzer for,China,China,62
Session 26,(Unknown),26.1,A 24GHz Direct Digital Transmitter Using Multiphase,United States,China,63
Session 26,(Unknown),26.2,A Wideband Replicas-Rejection Digital Transmitter Using,China,China,63
Session 26,(Unknown),26.3,A Crystal-less Frequency-Modulation Transmitter IC with Joint,United States,United States,63
Session 26,(Unknown),26.4,A 24-to-29GHz Compact Transmit/Receive Front-End Module,United States,United States,63
Session 26,(Unknown),26.5,A 17.7-to-29.5GHz Transceiver Front-End with 3.3dB NF,China,United States,63
Session 27,Sensor Interfaces,27.1,A 3-Axis MEMS Gyroscope with 2.8ms Wake-Up Time Enabled by,China,China,64
Session 27,Sensor Interfaces,27.2,A Voltage-Biased CMOS Hall Sensor with 1.0μT (3σ) Offset and a,Netherlands,China,64
Session 27,Sensor Interfaces,27.3,A Sub-1V 14b 5.8nW/Hz BW/Power-Scalable CT Sensor Interface,China,China,64
Session 27,Sensor Interfaces,27.4,A BJT-Based Temperature Sensor with an 80fJ∙K2 Resolution FoM,Netherlands,Netherlands,64
Session 27,Sensor Interfaces,27.5,"A 4,100μm2 Wire-Metal-Based Temperature Sensor with a","Macau, China",Portugal,64
Session 28,(Unknown),28.1,An 18.5nF-Input-Range PM-SAR-Hybrid Capacitance-to-Digital,Korea,United Arab Emirates,65
Session 28,(Unknown),28.2,A 189.3dB-FoMS 14.5fJ/Conversion-Step Continuous-Time,Korea,United Arab Emirates,65
Session 28,(Unknown),28.3,A 185.2dB-FoMs 8.7aFrms Zoomed Capacitance-to-Digital,China,China,65
Session 28,(Unknown),28.4,A 143dB-Dynamic-Range 119dB-CMRR Capacitance-to-Digital,China,Netherlands,65
Session 29,SRAM,29.1,A 38.1Mb/mm2 SRAM in a 2nm-CMOS-Nanosheet Technology for,Taiwan,Taiwan,66
Session 29,SRAM,29.2,A 0.021μm2 High-Density SRAM in Intel-18A-RibbonFET,United States,United States,66
Session 29,SRAM,29.3,A 3nm FinFET 2.2Gsearch/s 0.305fJ/b TCAM with Dynamically,United States,Singapore,66
Session 29,SRAM,29.4,A 38Mb/mm2 380/540mV Dual-Rail SRAM in 3nm-FinFET,United States,India,66
Session 29,SRAM,29.5,A 3nm 3.6GHz Dual-Port SRAM with Backend-RC Optimization,Taiwan,Japan,66
Session 30,(Unknown),30.1,A 28Gb/mm2 4XX-Layer 1Tb 3b/cell WF-Bonding 3D-NAND Flash,Korea,Korea,67
Session 30,(Unknown),30.2,A 1Tb 3b/cell 3D-Flash Memory with a 29%-Improved-Energy-,United States,United States,67
Session 30,(Unknown),30.3,A 24Gb 42.5Gb/s GDDR7 DRAM with Low-Power-WCK,Korea,Korea,67
Session 30,(Unknown),30.4,A 16Gb 12.7Gb/s/pin LPDDR5-Ultra-Pro DRAM with 4-Phase,Korea,Korea,67
Session 30,(Unknown),30.5,A 321-Layer 2Tb 4b/cell 3D-NAND-Flash Memory with a 75MB/s,United States,United States,67
Session 30,(Unknown),30.6,A 64Gb DDR4 STT-MRAM Using a Time-Controlled Discharge-,Japan,Japan,67
Session 31,Energy Harvesting and IoT Power,31.1,An Inductor-less Capacitor-less Synchronous,Netherlands,China,68
Session 31,Energy Harvesting and IoT Power,31.2,A Biased-SECE Interface for Piezoelectric Energy Harvesting with,Korea,Korea,68
Session 31,Energy Harvesting and IoT Power,31.3,A Rectiﬁer-less Piezoelectric Energy-Harvesting Interface with a,Netherlands,China,68
Session 31,Energy Harvesting and IoT Power,31.4,A 91.25% Peak-Power-Conversion-Efﬁciency Capacitive,"Macau, China",Portugal,68
Session 32,Isolated Power and Gate Drivers,32.1,A 180MHz 45.3%-Peak-Efﬁciency Isolated Converter Using,"Macau, China",Portugal,69
Session 32,Isolated Power and Gate Drivers,32.2,A Single-Link Multi-Domain-Output (SLiMDO) Isolated DC-DC,United States,United States,69
Session 32,Isolated Power and Gate Drivers,32.3,An Accurate Secondary-Side Controller with GaN-Based CGS,Taiwan,Taiwan,69
Session 32,Isolated Power and Gate Drivers,32.4,A Dual-LC-Resonant Isolated DC-DC Converter Achieving 65.4%,China,China,69
Session 32,Isolated Power and Gate Drivers,32.5,A 2W 53.2%-Peak-Efﬁciency Multi-Core Isolated DC-DC Converter,China,China,69
Session 32,Isolated Power and Gate Drivers,32.6,A Dynamic-RON-Diminished Bidirectional GaN Load Switch with,Taiwan,Taiwan,69
Session 33,Components for Beyond 100GHz,33.1,A 232-to-260GHz CMOS Ampliﬁer-Multiplier Chain with a,United States,United States,70
Session 33,Components for Beyond 100GHz,33.2,A 216-to-226GHz Watt-Level GaN Solid-State Power Ampliﬁer,China,China,70
Session 33,Components for Beyond 100GHz,33.3,A 125-to-170GHz Power-Efﬁcient Phase Shifter in SiGe,Italy,Italy,70
Session 33,Components for Beyond 100GHz,33.4,A Wideband Bidirectional Calibration-Free Frequency/Switching-,Switzerland,Switzerland,70
Session 33,Components for Beyond 100GHz,33.5,A 224GHz 19.9% TR Varactor-less VCO Utilizing a Multi-Section,United States,United States,70
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.1,"A 65fsrms-Jitter and -272dB-FoMjitter,N 10.1GHz Fractional-N Digital",Korea,Korea,71
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.2,A 380μW and -242.8dB FoM Digital-PLL-Based GFSK Modulator,Austria,Austria,71
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.3,A 4.75GHz Digital PLL with 45.8fs Integrated-Jitter and 257dB,Italy,Switzerland,71
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.4,A 9.05-to-37.0GHz LO Generator with Magnetic Mode Switching,United States,United States,71
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.5,An 18.5-to-23.6GHz Quad-Core Class-F23 Oscillator Without,China,China,71
Session 34,Digital PLLs and Waveform-Shaping VCOs,34.6,A 47.3-to-58.4GHz Differential Quasi-Class-E Colpitts Oscillator,"Hong Kong, China","Hong Kong, China",71
Session 35,Implantable and Wearable Biomedical Devices,35.1,A Single-Inductor-Based High-Voltage Transmit Beamformer for,Netherlands,Netherlands,72
Session 35,Implantable and Wearable Biomedical Devices,35.2,A Spatial-Domain Compressive-Sensing Photoacoustic Imager,United States,United States,72
Session 35,Implantable and Wearable Biomedical Devices,35.3,A 30MHz Wideband 92.7dB SNR 99.6% Accuracy Bioimpedance,United Kingdom,United Kingdom,72
Session 35,Implantable and Wearable Biomedical Devices,35.4,A Miniature Biomedical Implant Secured by Two-Factor,United States,United States,72
Session 35,Implantable and Wearable Biomedical Devices,35.5,A Wireless Adiabatic Stimulator System with Current-Mode,Korea,Korea,73
Session 35,Implantable and Wearable Biomedical Devices,35.6,An Enhanced-Frequency-Splitting-Based Wireless Power and,Korea,Korea,73
Session 35,Implantable and Wearable Biomedical Devices,35.7,A Programming-Free Three-Dimensional Resonant Current-Mode,Korea,Korea,73
Session 35,Implantable and Wearable Biomedical Devices,35.8,DustNet: A Network of Time-Division Multiplexed Ultrasonic,United States,United States,73
Session 36,Ultra-High-Density D2D and High-Performance,36.1,A 32Gb/s 10.5Tb/s/mm 0.6pJ/b UCIe-Compliant Low-Latency,Taiwan,United States,74
Session 36,Ultra-High-Density D2D and High-Performance,36.2,A 64Gb/s/wire 10.5Tb/s/mm/layer Single-Ended Simultaneous,China,China,74
Session 36,Ultra-High-Density D2D and High-Performance,36.3,A 0.29pJ/b 5.27Tb/s/mm UCIe Advanced Package Link in 3nm,United States,United States,74
Session 36,Ultra-High-Density D2D and High-Performance,36.4,A 0.9pJ/b 108Gb/s PAM-4 VCSEL-Based Direct-Drive Optical,United States,United States,74
Session 36,Ultra-High-Density D2D and High-Performance,36.5,A Low-Latency 200Gb/s PAM-4 Heterogeneous Transceiver in,China,China,75
Session 36,Ultra-High-Density D2D and High-Performance,36.6,A 112Gb/s 0.61pJ/b PAM-4 Linear TIA Supporting Extended,China,China,75
Session 36,Ultra-High-Density D2D and High-Performance,36.7,A 1.54pJ/b 64Gb/s 16-QAM Intradyne Coherent Optical Receiver,United States,United States,75
Session 36,Ultra-High-Density D2D and High-Performance,36.8,A 100Gbaud 4Vppd Distributed Linear Driver with Cross-Folded,China,"Hong Kong, China",75
Session 36,Ultra-High-Density D2D and High-Performance,36.9,A 212Gb/s PAM-4 Retimer with Integrated High-Swing Optical,United States,Italy,75
Session 37,Design-Technology Optimization and Digital Accelerators,37.1,IBM Telum II Processor Design-Technology Co-Optimizations for,United States,Germany,76
Session 37,Design-Technology Optimization and Digital Accelerators,37.2,A 2-Dimensional mm-Scale Network-on-Textiles (kNOTs) for,United States,United States,76
Session 37,Design-Technology Optimization and Digital Accelerators,37.3,Monolithic In-Memory Computing Microprocessor for End-to-End,Korea,United States,76
Session 37,Design-Technology Optimization and Digital Accelerators,37.4,SHINSAI: A 586mm2 Reusable Active TSV Interposer with,China,China,76
Session 37,Design-Technology Optimization and Digital Accelerators,37.5,SKADI: A 28nm Complete K-SAT Solver Featuring Dual-Path,China,China,77
Session 37,Design-Technology Optimization and Digital Accelerators,37.6,A 22nm 60.81TFLOPS/W Diffusion Accelerator with,China,China,77
Session 37,Design-Technology Optimization and Digital Accelerators,37.7,A 28nm 18.1μJ/Acquisition End-to-End GPS Acquisition,Korea,United States,77
Session 37,Design-Technology Optimization and Digital Accelerators,37.8,A 13.5μW 35-Keyword End-to-End Keyword Spotting System,Korea,United States,77
