session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 25,Hardware Security,25.8,A Sub-Threshold All-nMOS Reconﬁgurable PUF with Secure,,,61
Session 25,Hardware Security,25.9,A PVT Variation- and Attack-Tolerant Metastability-Based TRNG,,,61
Session 25,Hardware Security,25.10,A 65nm 0.066pJ/bit Floating-Latch-Based True Random Number,,,61
Session 26,Compute Power and Supply Modulators,26.1,Coupled-OSC-Based Converters Achieving 89.5% Peak Efﬁciency,,,62
Session 26,Compute Power and Supply Modulators,26.2,A Compact 4Vin 93.4%-Peak-Efﬁciency 12A Load and 20mV,,,62
Session 26,Compute Power and Supply Modulators,26.3,A Multi-Phase Hybrid Converter with Q Samplers Enabling,,,62
Session 26,Compute Power and Supply Modulators,26.4,A 12-to-1V 90.5%-Peak-Efﬁciency 721A/cm3-Current-Density,,,62
Session 26,Compute Power and Supply Modulators,26.5,An Inductor-at-Middle Hybrid Buck Converter with Shared,,,62
Session 26,Compute Power and Supply Modulators,26.6,A 92.4%-Peak-Efﬁciency 48V to 0.8-to-1.6V Hybrid Converter with,,,63
Session 26,Compute Power and Supply Modulators,26.7,A 100A 93.4%-Peak-Efﬁciency LLC Resonant Converter with an,,,63
Session 26,Compute Power and Supply Modulators,26.8,A 1.2 μs 1-to-12V Symbol Power Tracking Supply Modulator with,,,63
Session 26,Compute Power and Supply Modulators,26.9,A Compact Dual-Capacitor Relay SPT Supply Modulator with,,,63
Session 27,"Frequency Generators, Multipliers, and Modulators",27.1,A 20GHz Frequency Synthesizer with Spur-Shaping Modulator,,,64
Session 27,"Frequency Generators, Multipliers, and Modulators",27.2,"A 157fsrms-Jitter, –73dBc-Fractional-Spur, Calibration-Free",,,64
Session 27,"Frequency Generators, Multipliers, and Modulators",27.3,A 14GHz Ring-Based 3rd-Order Fractional-N PLL with 164fsrms,,,64
Session 27,"Frequency Generators, Multipliers, and Modulators",27.4,A 0.068mm2 8.5-to-12.7GHz Complementary Dual-Core VCO with,,,64
Session 27,"Frequency Generators, Multipliers, and Modulators",27.5,A 17.9-to-22.4GHz 195.6±1.3dBc/Hz FoM Quad-Core Class-F-1,,,64
Session 27,"Frequency Generators, Multipliers, and Modulators",27.6,A 9.7GHz Self-Linearized-VCO-Based FMCW Chirp Generator,,,65
Session 27,"Frequency Generators, Multipliers, and Modulators",27.7,A 40.5-to-58.5GHz 36%-Fractional-Chirp-Bandwidth,,,65
Session 27,"Frequency Generators, Multipliers, and Modulators",27.8,A 77GHz 8-bit CMOS Phase Shifter Adopting a Nested-Vector-,,,65
Session 27,"Frequency Generators, Multipliers, and Modulators",27.9,A Dual-Mode DCO-PA with a Twisted 8-Shape Inductor for BLE,,,65
Session 27,"Frequency Generators, Multipliers, and Modulators",27.10,A 48-to-82.5GHz CMOS Split-Tail Gilbert-Cell Frequency Doubler,,,65
Session 28,Innovations from Outside the (ISSCC) Box,28.1,Importance of GaN for 5G and Solid-State mm-Wave Circuits of,,,66
Session 28,Innovations from Outside the (ISSCC) Box,28.2,"High-Selectivity, Tunable Filters with Zero Static Power",,,66
Session 28,Innovations from Outside the (ISSCC) Box,28.3,Body-Interfaced Biosensors,,,66
Session 28,Innovations from Outside the (ISSCC) Box,28.4,"The Sensing, Computing, and Devices Opportunities of",,,66
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.1,A 48-Day-Duration Pasting Bioelectronic Device Realizing,,,67
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.2,A 1400THz/s Ultra-Fast-Scan 14GHz EPR-on-a-Chip Based on,,,67
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.3,A 256-Channel Event-Driven Readout for Solid-State Nanopore,,,67
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.3,A 256-Channel Event-Driven Readout for Solid-State Nanopore,,,58
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.4,Shape-Memory Multi-Size Micro-Cage Array on CMOS with,,,67
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.5,A Sub-Gram Individual Plant Stress Sensor Tag for Smart Farming,,,67
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.6,A 65nm CMOS Hydrogel-Based Dual Fluorescence Sensor for,,,58
Session 29,Biochemical Sensors for Life Sciences and Agriculture,29.6,A 65nm CMOS Hydrogel-Based Dual Fluorescence Sensor for,,,67
Session 30,Compute-in-Memory,30.1,A 28nm 127.54TFLOPS/W MXFP6 and 117.42TFLOPS/W MXFP8,,,58
Session 30,Compute-in-Memory,30.1,A 28nm 127.54TFLOPS/W MXFP6 and 117.42TFLOPS/W MXFP8,,,68
Session 30,Compute-in-Memory,30.2,A 12nm 4Mb 104.56-to-137.75TFLOPS/W Charge-Trap,,,68
Session 30,Compute-in-Memory,30.3,A 22nm 96Mb 50.6-to-90.2TFLOPS/W Non-Linear MLC ReRAM,,,68
Session 30,Compute-in-Memory,30.4,A 28nm 106.85TOPS/W and 77.68TFLOPS/W CIM Macro with,,,68
Session 30,Compute-in-Memory,30.5,A 16nm 72kb 120.5TFLOPS/W Versatile-Format,,,69
Session 30,Compute-in-Memory,30.6,A 16Mb 166.8TOPS/W Near-Memory Phase-Domain-Computing,,,69
Session 30,Compute-in-Memory,30.7,A 1.2GHz 12.77GB/s/mm2 3D Two-DRAM-One-Logic,,,69
Session 30,Compute-in-Memory,30.8,"A 16nm, 1Mb, 1-to-8b-Conﬁgurable 444.21TOPS/W Fully Digital",,,69
Session 30,Compute-in-Memory,30.9,"A 147TOPS/W, 250TOPS/mm2, Fully Synthesizable, Digital",,,58
Session 30,Compute-in-Memory,30.9,"A 147TOPS/W, 250TOPS/mm2, Fully Synthesizable, Digital",,,69
Session 31,AI Accelerators,31.1,A 14.08-to-135.69Token/s ReRAM-on-Logic Stacked Outlier-Free,,,70
Session 31,AI Accelerators,31.2,Revolver: Low-Bit GenAI Accelerator for Distilled-Model and CoT,,,70
Session 31,AI Accelerators,31.3,A 51.6 μJ/Token Subspace-Rotation-Based Dual-Quantized,,,70
Session 31,AI Accelerators,31.4,VARSA: A Visual Autoregressive Generation Accelerator Using,,,70
Session 31,AI Accelerators,31.5,SoulMate: A 9.8mW Mobile Intelligence System-on-Chip with,,,58
Session 31,AI Accelerators,31.5,SoulMate: A 9.8mW Mobile Intelligence System-on-Chip with,,,71
Session 31,AI Accelerators,31.6,Tri-Oracle: A 17.78 μJ/Token Vision-Language Model Accelerator,,,71
Session 31,AI Accelerators,31.7,LUT-SSM: A 99.3TFLOPS/W LUT-Based State-Space Model,,,71
Session 31,AI Accelerators,31.8,A 28nm Speculative-Decoding LLM Processor Achieving,,,71
Session 31,AI Accelerators,31.9,ALPhA-Vision: A Real-Time Always-On Vision Processor with,,,58
Session 31,AI Accelerators,31.9,ALPhA-Vision: A Real-Time Always-On Vision Processor with,,,71
Session 32,Low-Power Noise-Shaping ADCs,32.1,A 98.5dB-SNDR 250kHz-BW 1V-Supply Continuous-Time Zoom,,,72
Session 32,Low-Power Noise-Shaping ADCs,32.2,A PVT-Robust Frequency-Scalable Fully Dynamic ΔΣ ADC with,,,72
Session 32,Low-Power Noise-Shaping ADCs,32.3,An 85.1dB-SNDR 8MS/s Incremental Pipeline ADC with,,,72
Session 32,Low-Power Noise-Shaping ADCs,32.4,A 103.9dB-SFDR 83.8dB-SNDR 3MHz-BW Multi-Bit,,,72
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.1,A 22-to-25GHz CMOS Non-Magnetic Balanced Circulator,,,73
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.2,An Inﬁnite-Loop CMOS-Compatible Isolator Enabled True,,,73
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.2,An Inﬁnite-Loop CMOS-Compatible Isolator Enabled True,,,58
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.3,A 6GHz Quadrature Digital Transmitter Supporting a 1GHz Signal,,,73
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.4,A 4.5-to-7.2GHz Beyond Rail-to-Rail Output SCPA with 27.9dBm,,,73
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.5,"A 0.6-to-0.9GHz, 28.06dBm Pout, 43.73% SE, 6-Phase",,,73
Session 33,Time-Varying Circuit Techniques from RF to mm-Wave,33.6,"A Frequency-Translated, 1-to-5GHz Centred, All-Passive,",,,73
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.1,A 128mW 2×4 Radar-on-Chip with Forward- ΔΣ DPLL-Locked,,,58
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.1,A 128mW 2×4 Radar-on-Chip with Forward- ΔΣ DPLL-Locked,,,74
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.2,"Compact, Low-Power 60-and-77GHz 4T/4R Multi-Mode FMCW",,,74
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.3,A 234-to-252GHz Dual-Polarized Transceiver Using Antenna-in-,,,58
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.3,A 234-to-252GHz Dual-Polarized Transceiver Using Antenna-in-,,,74
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.4,A 1.6-to-3.8GHz Reconﬁgurable FMCW Radar SoC with 81.5%,,,58
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.4,A 1.6-to-3.8GHz Reconﬁgurable FMCW Radar SoC with 81.5%,,,74
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.5,A 0.0523mm2 11.4mW IEEE 802.15.4a/z/ab Compatible,,,58
Session 34,Integrated Radar and UWB Transceivers from Microwave to Sub-THz,34.5,A 0.0523mm2 11.4mW IEEE 802.15.4a/z/ab Compatible,,,74
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.1,CANCEL: A Cancellation-Aided Ambient IoT Nanopowered,,,75
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.2,A 20mg Battery-Free Crystal-Less Miniaturized TX System for,,,75
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.3,A 0.052mm2 Blocker-Tolerant Non-Uniform Current Sub-Sampling,,,75
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.4,A NearLink 2.0 Compliant Dual-Band RF Transceiver for Smart,,,75
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.5,Fully Integrated Backscattered WiFi 802.11b Transmitter with,,,58
Session 35,Low Power Wireless Transceivers for Localization and Communications,35.5,Fully Integrated Backscattered WiFi 802.11b Transmitter with,,,75
Session 36,Neural and Biomedical Interfaces,36.1,ReFIND: A Resolution-Reconﬁgurable Bio-Signal Classiﬁcation,,,58
Session 36,Neural and Biomedical Interfaces,36.1,ReFIND: A Resolution-Reconﬁgurable Bio-Signal Classiﬁcation,,,76
Session 36,Neural and Biomedical Interfaces,36.2,A Neural Interface SoC for Smart Glasses with Low-Power Neural,,,76
Session 36,Neural and Biomedical Interfaces,36.2,A Neural Interface SoC for Smart Glasses with Low-Power Neural,,,58
Session 36,Neural and Biomedical Interfaces,36.3,A 16.4nJ/Class Patient-Independent Prototype-Based,,,76
Session 36,Neural and Biomedical Interfaces,36.4,ANP-OT: A 0.17nW/Synapse 0.46pJ/SOP Neuromorphic Olfactory,,,76
Session 36,Neural and Biomedical Interfaces,36.5,A 185.6dB-FOMDR 180.3dB-FOMSNDR 10.64-NEF NS-SAR-ADC with,,,76
Session 36,Neural and Biomedical Interfaces,36.6,Sparsity-Aware Neural Interface with CIM-Based Predictive,,,77
Session 36,Neural and Biomedical Interfaces,36.6,Sparsity-Aware Neural Interface with CIM-Based Predictive,,,58
Session 36,Neural and Biomedical Interfaces,36.7,A 90.7%-Efﬁciency Hybrid Optogenetic Stimulation System with,,,77
Session 36,Neural and Biomedical Interfaces,36.8,An 80×80 μm2/Pixel 55.48dB-Wide-DR 400-Pixel Subretinal,,,77
Session 36,Neural and Biomedical Interfaces,36.9,A CMOS Neural Probe with 1280 Electrodes and 88 Emission Sites,,,77
Session 36,Neural and Biomedical Interfaces,36.10,A 43.8-to-662.0 μW 27.5-to-878.9fps Frame-Rate-Scalable,,,77
Session 36,Neural and Biomedical Interfaces,36.11,A 0.62 μW/sensor 82fps Time-to-Digital Impedance Measurement,,,77
Session 36,Neural and Biomedical Interfaces,36.11,A 0.62 μW/sensor 82fps Time-to-Digital Impedance Measurement,,,58
Session 37,Memory Interface,37.1,A 72Gb/s/pin Single-Ended Driver-Cooperative Coded PAM3,,,78
Session 37,Memory Interface,37.2,A 47.0Tb/s/mm 112Gb/s/pin PAM4 Single-Ended Transceiver,,,78
Session 37,Memory Interface,37.3,A 2nm All-Digital 14.4Gb/s/pin LPDDR6 PHY with Quarter-Rate,,,78
Session 37,Memory Interface,37.4,"A 100Gb/s Aggregate 4-lane, 1.92pJ/b Single-Ended NRZ",,,78
Session 37,Memory Interface,37.5,A 16Gb/s/pin 0.51pJ/bit Single-Ended NRZ Transceiver with,,,78
Session 37,Memory Interface,37.6,A 0.092pJ/b and 7.7fJ/b/dB Cross-Self-Referenced,,,79
Session 37,Memory Interface,37.7,A 12.8Gb/s Parallel Receiver with a One-Way Self-Training,,,79
Session 37,Memory Interface,37.8,A 0.87pJ/b 17Gb/s/pin Parallel Receiver with a Local DQS,,,79
Session 37,Memory Interface,37.9,A 14Gb/s/pin 0.163pJ/b DQ Receiver for HBM with Baud-Rate,,,79
